car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date,predicted_price,residual
car_181,2022,24000,1.2,Benzin,Manuelni 5 brzina,9700,Bežanijska Kosa,2026-07-15,9656.633076958102,43.36692304189819
car_182,2015,163087,1.4,Dizel,Manuelni 5 brzina,5499,Beograd,2026-07-15,6098.06797706357,-599.0679770635697
car_183,2016,143000,1.2,Benzin,Manuelni 5 brzina,5599,Kraljevo,2026-07-15,6607.320286421896,-1008.3202864218956
car_184,2021,34000,1.2,Benzin,Manuelni 6 brzina,9999,Loznica,2026-07-15,9188.478105870508,810.5218941294916
car_185,2010,192000,1.4,Dizel,Manuelni 5 brzina,3990,Aranđelovac,2026-07-15,3843.2076226785284,146.79237732147158
car_186,2019,78000,1.2,Benzin,Manuelni 5 brzina,8000,Beograd,2026-07-15,8154.385263080865,-154.38526308086512
car_187,2017,49471,1.2,Benzin,Manuelni 6 brzina,7500,Kraljevo,2026-07-15,7415.796420236216,84.20357976378364
car_188,2012,140000,1.4,Benzin,Manuelni 5 brzina,4498,Novi Sad,2026-07-15,4909.894765673183,-411.89476567318343
car_189,2018,132000,1.2,Benzin,Manuelni 5 brzina,7650,Novi Sad,2026-07-15,7506.961640866343,143.03835913365674
car_190,2022,101000,1.2,Benzin,Manuelni 5 brzina,7950,Beograd,2026-07-15,9342.912937485979,-1392.9129374859785
car_191,2016,172701,1.6,Dizel,Manuelni 5 brzina,6800,Čačak,2026-07-15,6486.309872623694,313.690127376306
car_192,2020,102000,1.2,Benzin,Manuelni 5 brzina,8599,Novi Sad,2026-07-15,8484.014458297535,114.98554170246462
car_193,2017,45410,1.2,Benzin,Manuelni 5 brzina,6999,Beograd,2026-07-15,7432.342101877727,-433.34210187772715
car_194,2018,200000,1.6,Dizel,Manuelni 5 brzina,7500,Užice,2026-07-15,7229.910089124728,270.0899108752719
car_195,2012,267500,1.4,Dizel,Manuelni 5 brzina,3899,Bečej,2026-07-15,4390.423106157656,-491.42310615765564
car_196,2019,123028,1.5,Dizel,Manuelni 5 brzina,8000,Kragujevac,2026-07-15,7970.928244377608,29.07175562239172
car_197,2010,257000,1.4,Dizel,Manuelni 5 brzina,3999,Šabac,2026-07-15,3578.3789335137494,420.6210664862506
car_198,2023,90704,1.2,Benzin,Manuelni 5 brzina,9800,Kragujevac,2026-07-15,9812.273897681038,-12.273897681037852
car_199,2005,215342,1.4,Benzin,Manuelni 5 brzina,999,Loznica,2026-07-15,1611.0451240986713,-612.0451240986713
car_200,2017,147112,1.2,Benzin,Manuelni 5 brzina,7490,Bežanijska Kosa,2026-07-15,7017.978911947937,472.0210880520626
car_201,2021,108817,1.5,Dizel,Manuelni 6 brzina,10250,Jagodina,2026-07-15,8883.652136066796,1366.3478639332043
car_202,2022,116597,1.5,Dizel,Manuelni 6 brzina,9750,Jagodina,2026-07-15,9279.366274949009,470.6337250509914
car_203,2019,165002,1.5,Dizel,Manuelni 5 brzina,7800,Kragujevac,2026-07-15,7799.914099777571,0.08590022242879058
car_204,2014,184240,1.6,Dizel,Manuelni 5 brzina,4700,Ruma,2026-07-15,5584.472477202826,-884.4724772028258
car_205,2019,94761,1.2,Benzin,Manuelni 5 brzina,6900,Beograd,2026-07-15,8086.096129864082,-1186.0961298640823
car_206,2019,94644,1.2,Benzin,,9300,Beograd,2026-07-15,8086.572821504578,1213.4271784954217
car_207,2010,221000,1.4,Benzin + Gas (TNG),Manuelni 5 brzina,4690,Beograd,2026-07-15,3725.053284435781,964.9467155642192
car_208,2012,214070,1.1,Benzin,Manuelni 5 brzina,4200,Čačak,2026-07-15,4608.112288651104,-408.1122886511039
car_209,2017,190055,1.2,Benzin,Manuelni 5 brzina,6790,Beograd,2026-07-15,6843.016782735582,-53.01678273558173
car_210,2018,157273,1.6,Dizel,Manuelni 5 brzina,7749,Nova Varoš,2026-07-15,7403.992172231551,345.0078277684488
car_211,2011,183400,1.6,Dizel,Manuelni 5 brzina,4290,Šabac,2026-07-15,4305.658591230149,-15.658591230148886
car_212,2008,193214,1.4,Benzin + Gas (TNG),Manuelni 5 brzina,2100,Prigrevica,2026-07-15,2983.4372459596034,-883.4372459596034
car_213,2019,136389,1.2,Benzin,Manuelni 5 brzina,8700,Kraljevo,2026-07-15,7916.491688747907,783.5083112520933
car_214,2017,244000,1.6,Dizel,Manuelni 5 brzina,7750,Niš,2026-07-15,6623.2293421664435,1126.7706578335565
car_215,2012,180000,1.4,Dizel,,4699,Vrčin,2026-07-15,4746.923264648704,-47.92326464870439
car_216,2019,204000,1.5,Dizel,Manuelni 5 brzina,8290,Prokuplje,2026-07-15,7641.025034853755,648.9749651462453
