car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date
car_061,2010,192000,1.4,Benzin,Manuelni 5 brzina,2800,Novi Sad,2026-07-15
car_062,2013,170000,1.2,Benzin,Manuelni 5 brzina,4250,Novi Sad,2026-07-15
car_063,2020,87510,1.2,Benzin,Manuelni 5 brzina,9300,Jagodina,2026-07-15
car_064,2019,165611,1.2,Benzin,Manuelni 5 brzina,6950,Kragujevac,2026-07-15
car_065,2012,210000,1.6,Dizel,Manuelni 5 brzina,5450,Loznica,2026-07-15
car_066,2021,56700,1.2,Benzin,Manuelni 5 brzina,7999,Kragujevac,2026-07-15
car_067,2009,68000,1.4,Benzin,Manuelni 5 brzina,3390,Beograd,2026-07-15
car_068,2018,125000,1.2,Benzin,Manuelni 5 brzina,7800,Beograd,2026-07-15
car_069,2014,124325,1.2,Benzin,Manuelni 5 brzina,5650,Paraćin,2026-07-15
car_070,2020,147453,1.5,Dizel,Manuelni 5 brzina,8650,Aranđelovac,2026-07-15
car_071,2021,113221,1.2,Benzin,Manuelni 5 brzina,7800,Beograd,2026-07-15
car_072,2019,70782,1.2,Benzin,Manuelni 5 brzina,9690,Beograd,2026-07-15
car_073,2021,139000,1.5,Dizel,Manuelni 6 brzina,9150,Kragujevac,2026-07-15
car_074,2021,169000,1.5,Dizel,Manuelni 6 brzina,8650,Kragujevac,2026-07-15
car_075,2016,105795,1.2,Benzin,Manuelni 5 brzina,6590,Ada,2026-07-15
car_076,2019,110000,1.2,Benzin,,8150,Novi Beograd,2026-07-15
car_077,2018,74334,1.2,Benzin,,9550,Šabac,2026-07-15
car_078,2021,164000,1.5,Dizel,Manuelni 6 brzina,8950,Kragujevac,2026-07-15
car_079,2012,166000,1.2,Benzin,Manuelni 5 brzina,4199,Niš,2026-07-15
car_080,2017,170000,1.6,Dizel,Manuelni 5 brzina,6800,Beograd,2026-07-15
car_081,2018,34117,1.2,Benzin,Manuelni 5 brzina,8900,Beograd,2026-07-15
car_082,2019,109355,1.2,Benzin,Manuelni 5 brzina,6450,Kraljevo,2026-07-15
car_083,2019,152704,1.5,Dizel,Manuelni 6 brzina,7990,Niš,2026-07-15
car_084,2010,171000,1.6,Dizel,Manuelni 5 brzina,4250,Paraćin,2026-07-15
car_085,2019,61000,1.2,Benzin,Manuelni 5 brzina,6790,Novi Sad,2026-07-15
car_086,2015,155062,1.2,Benzin,Manuelni 5 brzina,5600,Novi Beograd,2026-07-15
car_087,2011,184000,1.4,Dizel,Manuelni 5 brzina,4250,Beograd,2026-07-15
car_088,2020,163493,1.5,Dizel,Manuelni 5 brzina,8290,Čačak,2026-07-15
car_089,2012,211000,1.1,Benzin,Manuelni 5 brzina,3200,Beograd,2026-07-15
car_090,2019,206852,1.6,Dizel,Manuelni 5 brzina,7499,Bela Crkva,2026-07-15
car_091,2019,95700,1.5,Dizel,Manuelni 5 brzina,7900,Voždovac,2026-07-15
car_092,2020,102960,1.5,Dizel,Manuelni 5 brzina,8750,Jagodina,2026-07-15
car_093,2021,97080,1.2,Benzin,Manuelni 5 brzina,8290,Čačak,2026-07-15
car_094,2010,137259,1.4,Benzin,Manuelni 5 brzina,4350,Kanjiža,2026-07-15
car_095,2014,235000,1.4,Dizel,Manuelni 5 brzina,4650,Novi Beograd,2026-07-15
car_096,2020,98000,1.2,Benzin,,10299,Veternik,2026-07-15
car_097,2022,115188,1.2,Benzin,Manuelni 6 brzina,9990,Zemun,2026-07-15
car_098,2005,226000,1.4,Dizel,Manuelni 5 brzina,2500,Beograd,2026-07-15
car_099,2019,100000,1.2,Benzin,Manuelni 5 brzina,6290,Novi Sad,2026-07-15
car_100,2011,206000,1.6,Dizel,Manuelni 5 brzina,4799,Šabac,2026-07-15
car_101,2018,165543,1.6,Dizel,Manuelni 5 brzina,7850,Veternik,2026-07-15
car_102,2018,175000,1.2,Benzin,Manuelni 6 brzina,6900,Kruševac,2026-07-15
car_103,2011,187000,1.6,Dizel,Manuelni 5 brzina,4390,Šabac,2026-07-15
car_104,2019,94684,1.2,Benzin,Manuelni 6 brzina,6650,Kraljevo,2026-07-15
car_105,2020,180000,1.5,Dizel,Manuelni 5 brzina,8250,Kragujevac,2026-07-15
car_106,2007,180882,1.4,Dizel,Manuelni 5 brzina,2750,Kragujevac,2026-07-15
